 Accessible Rich Internet Applications (WAI-ARIA) Version 1.0                                          , 2008-02-04 , http://www.w3.org/TR/2008/WD-wai-aria-20080204/                        , WD               
 Accessible Rich Internet Applications (WAI-ARIA) Version 1.0                                          , 2008-08-06 , http://www.w3.org/TR/2008/WD-wai-aria-20080806/                        , WD               
 Activity Streams 2.0                                                                                         , 2014-10-23 , http://www.w3.org/TR/2014/WD-activitystreams-core-20141023/                      , WD               
 Activity Streams 2.0                                                                                         , 2015-01-29 , http://www.w3.org/TR/2015/WD-activitystreams-core-20150129/                      , WD               
 Activity Vocabulary                                                                                          , 2014-10-23 , http://www.w3.org/TR/2014/WD-activitystreams-vocabulary-20141023/                , WD               
 Activity Vocabulary                                                                                          , 2015-01-29 , http://www.w3.org/TR/2015/WD-activitystreams-vocabulary-20150129/                , WD               
 Additional Requirements for Bidi in HTML                                                              , 2010-03-04 , http://www.w3.org/TR/2010/WD-html-bidi-20100304/                         , WD               
 Advanced XML Schema Patterns for Databinding Version 1.0                                              , 2008-03-28 , http://www.w3.org/TR/2008/WD-xmlschema-patterns-advanced-20080328/     , WD               
 Advanced XML Schema Patterns for Databinding Version 1.0                                              , 2009-05-05 , http://www.w3.org/TR/2009/NOTE-xmlschema-patterns-advanced-20090505/     , NOTE             
 Advanced XML Schema Patterns for Databinding Version 1.0                                                , 2006-11-22 , http://www.w3.org/TR/2006/WD-xmlschema-patterns-advanced-20061122/     , WD               
 Advanced XML Schema Patterns for Databinding Version 1.0                                                            , 2007-10-31 , http://www.w3.org/TR/2007/WD-xmlschema-patterns-advanced-20071031/   , WD               
 Ambient Light Events                                                                                         , 2012-08-02 , http://www.w3.org/TR/2012/WD-ambient-light-20120802/                             , WD               
 Ambient Light Events                                                                                         , 2012-12-13 , http://www.w3.org/TR/2012/WD-ambient-light-20121213/                             , LastCall         
 Ambient Light Events                                                                                         , 2012-12-13 , http://www.w3.org/TR/2012/WD-ambient-light-20121213/                             , WD               
 Ambient Light Events                                                                                         , 2013-10-01 , http://www.w3.org/TR/2013/CR-ambient-light-20131001/                             , CR               
 Ambient Light Events                                                                                         , 2014-06-19 , http://www.w3.org/TR/2014/WD-ambient-light-20140619/                             , LastCall         
 Ambient Light Events                                                                                         , 2014-06-19 , http://www.w3.org/TR/2014/WD-ambient-light-20140619/                             , WD               
 An organization ontology                                                                                     , 2012-04-05 , http://www.w3.org/TR/2012/WD-vocab-org-20120405/                                 , WD               
 An organization ontology                                                                                     , 2012-10-23 , http://www.w3.org/TR/2012/WD-vocab-org-20121023/                                 , LastCall         
 An organization ontology                                                                                     , 2012-10-23 , http://www.w3.org/TR/2012/WD-vocab-org-20121023/                                 , WD               
 An XHTML + MathML + SVG Profile                                                             , 2002-04-30 , http://www.w3.org/TR/2002/WD-XHTMLplusMathMLplusSVG-20020430/          , WD         
 An XHTML + MathML + SVG Profile                                                             , 2002-08-09 , http://www.w3.org/TR/2002/WD-XHTMLplusMathMLplusSVG-20020809/          , WD         
 An XSD datatype for IEEE floating-point decimal                                                       , 2011-06-09 , http://www.w3.org/TR/2011/NOTE-xsd-precisionDecimal-20110609/            , NOTE             
 Annotation Use Cases                                                                                         , 2014-03-13 , http://www.w3.org/TR/2014/WD-dpub-annotation-uc-20140313/                        , WD               
 API for Media Resource 1.0                                                                            , 2009-10-20 , http://www.w3.org/TR/2009/WD-mediaont-api-1.0-20091020                   , WD               
 API for Media Resource 1.0                                                                            , 2010-03-09 , http://www.w3.org/TR/2010/WD-mediaont-api-1.0-20100309                   , WD               
 API for Media Resource 1.0                                                                            , 2010-06-08 , http://www.w3.org/TR/2010/WD-mediaont-api-1.0-20100608                   , LastCall         
 API for Media Resource 1.0                                                                            , 2010-06-08 , http://www.w3.org/TR/2010/WD-mediaont-api-1.0-20100608                   , WD               
 API for Media Resources 1.0                                                                           , 2011-07-12 , http://www.w3.org/TR/2011/WD-mediaont-api-1.0-20110712                   , LastCall         
 API for Media Resources 1.0                                                                           , 2011-07-12 , http://www.w3.org/TR/2011/WD-mediaont-api-1.0-20110712                   , WD               
 API for Media Resources 1.0                                                                                  , 2011-11-22 , http://www.w3.org/TR/2011/CR-mediaont-api-1.0-20111122/                          , CR               
 API for Media Resources 1.0                                                                                  , 2013-04-11 , http://www.w3.org/TR/2013/WD-mediaont-api-1.0-20130411/                          , LastCall         
 API for Media Resources 1.0                                                                                  , 2013-04-11 , http://www.w3.org/TR/2013/WD-mediaont-api-1.0-20130411/                          , WD               
 API for Media Resources 1.0                                                                                  , 2013-10-15 , http://www.w3.org/TR/2013/PR-mediaont-api-1.0-20131015/                          , PR               
 Applying WCAG 2.0 to Non-Web Information and Communications Technologies                                     , 2012-07-27 , http://www.w3.org/TR/2012/WD-wcag2ict-20120727/                                  , WD               
 Arabic mathematical notation                                                          , 2006-01-31 , http://www.w3.org/TR/2006/NOTE-arabic-math-20060131                 , NOTE     
 Architectural Principles of the World Wide Web                                              , 2002-08-30 , http://www.w3.org/TR/2002/WD-webarch-20020830/                         , WD         
 Architecture of the World Wide Web, 2003-12-09 , http://www.w3.org/TR/2003/WD-webarch-20031209/                   , LastCall     
 Architecture of the World Wide Web, 2003-12-09 , http://www.w3.org/TR/2003/WD-webarch-20031209/                   , WD           
 Architecture of the World Wide Web, 2004-07-05 , http://www.w3.org/TR/2004/WD-webarch-20040705/                      , WD       
 Architecture of the World Wide Web, 2004-08-16 , http://www.w3.org/TR/2004/WD-webarch-20040816/                      , LastCall 
 Architecture of the World Wide Web, 2004-08-16 , http://www.w3.org/TR/2004/WD-webarch-20040816/                      , WD       
 Architecture of the World Wide Web, 2004-11-05 , http://www.w3.org/TR/2004/PR-webarch-20041105/                      , PR       
 Architecture of the World Wide Web, 2004-12-15 , http://www.w3.org/TR/2004/REC-webarch-20041215/                     , REC      
 Architecture of the World Wide Web                                               , 2003-06-27 , http://www.w3.org/TR/2003/WD-webarch-20030627/                   , WD           
 Architecture of the World Wide Web                                               , 2003-10-01 , http://www.w3.org/TR/2003/WD-webarch-20031001/                   , WD           
 Architecture of the World Wide Web                                                          , 2002-11-15 , http://www.w3.org/TR/2002/WD-webarch-20021115/                         , WD         
